sector,pair,ticker_y,ticker_x,score,coint_pvalue,half_life,hedge_ratio,hurst_exp,correlation,spread_std
realestate,EQR/UDR,EQR,UDR,0.8138,0.0064,7.7,0.7807,0.176,0.896,0.0162
utilities,DUK/PPL,DUK,PPL,0.7945,0.0001,6.0,1.0102,0.087,0.758,0.0176
insurance,ALL/HIG,ALL,HIG,0.7914,0.0001,5.1,0.4744,0.088,0.764,0.0229
utilities,DUK/WEC,DUK,WEC,0.776,0.0023,8.3,0.8411,0.185,0.789,0.0176
financials,PNC/FITB,PNC,FITB,0.7663,0.0097,6.2,0.9342,0.231,0.886,0.0171
realestate,EQR/AVB,EQR,AVB,0.756,0.0222,9.6,0.6502,0.234,0.915,0.0188
utilities,WEC/PPL,WEC,PPL,0.7545,0.0017,6.6,1.1525,0.154,0.736,0.0195
realestate,ESS/MAA,ESS,MAA,0.7474,0.0203,9.9,0.6872,0.174,0.835,0.0251
financials,TFC/FITB,TFC,FITB,0.7454,0.0231,10.7,0.904,0.237,0.891,0.0241
financials,GS/C,GS,C,0.7406,0.0237,8.6,0.9171,0.146,0.833,0.0275
insurance,ALL/PGR,ALL,PGR,0.7401,0.0133,8.9,-0.0935,0.102,0.725,0.0439
realestate,ESS/UDR,ESS,UDR,0.737,0.0334,12.5,0.7058,0.2,0.892,0.0232
energy,PSX/VLO,PSX,VLO,0.7243,0.0374,13.6,0.629,0.168,0.854,0.0381
realestate,EQR/MAA,EQR,MAA,0.7243,0.0202,11.7,0.7219,0.299,0.871,0.0252
insurance,TRV/ALL,TRV,ALL,0.724,0.0221,9.6,1.364,0.11,0.751,0.0387
financials,USB/FITB,USB,FITB,0.7222,0.0293,9.8,0.9914,0.213,0.873,0.0231
realestate,AVB/ESS,AVB,ESS,0.7071,0.0538,15.5,1.3542,0.159,0.886,0.0346
utilities,SO/PPL,SO,PPL,0.6986,0.0083,10.6,0.8277,0.269,0.723,0.0252
insurance,TRV/HIG,TRV,HIG,0.6897,0.0419,10.7,0.8611,0.191,0.852,0.0194
financials,WFC/GS,WFC,GS,0.6896,0.0312,11.5,0.5086,0.179,0.776,0.0365
financials,WFC/AXP,WFC,AXP,0.6774,0.0211,10.1,0.8899,0.219,0.733,0.0375
financials,WFC/MS,WFC,MS,0.6744,0.0417,11.2,0.6258,0.176,0.804,0.0339
financials,BAC/AXP,BAC,AXP,0.6743,0.0261,9.0,0.9373,0.212,0.765,0.0296
energy,CVX/DVN,CVX,DVN,0.6692,0.0269,12.5,0.7576,0.261,0.766,0.0418
realestate,EQR/ESS,EQR,ESS,0.6486,0.0767,15.2,0.9495,0.202,0.9,0.0225
homebuilders,NVR/TMHC,NVR,TMHC,0.6347,0.0533,13.0,1.0268,0.166,0.759,0.0447
insurance,AFL/HIG,AFL,HIG,0.6202,0.033,11.0,0.3352,0.3,0.748,0.0292
homebuilders,DHI/PHM,DHI,PHM,0.6188,0.0743,13.9,1.0373,0.303,0.92,0.0304
utilities,SO/WEC,SO,WEC,0.5819,0.0448,11.9,0.692,0.361,0.776,0.0248
utilities,DUK/EXC,DUK,EXC,0.539,0.0648,13.7,0.6736,0.377,0.782,0.022
utilities,DUK/AEP,DUK,AEP,0.538,0.0633,13.0,0.5177,0.323,0.736,0.0232
utilities,EXC/WEC,EXC,WEC,0.5321,0.0731,10.4,1.1632,0.252,0.729,0.0243
