date,equity
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100042.81999999999
2020-02-07,100029.93
2020-02-10,100068.53
2020-02-11,100032.29000000001
2020-02-12,99938.61
2020-02-13,99904.93
2020-02-14,99947.29
2020-02-18,99919.37
2020-02-19,99935.92
2020-02-20,100130.61000000002
2020-02-21,100153.70999999999
2020-02-24,100175.93000000001
2020-02-25,100183.14
2020-02-26,100150.99
2020-02-27,100150.99
2020-02-28,100150.99
2020-03-02,100150.99
2020-03-03,100150.99
2020-03-04,100150.99
2020-03-05,100150.99
2020-03-06,100150.99
2020-03-09,100150.99
2020-03-10,100150.99
2020-03-11,100150.99
2020-03-12,100150.99
2020-03-13,100150.99
2020-03-16,100150.99
2020-03-17,100150.99
2020-03-18,99608.09
2020-03-19,100924.33
2020-03-20,102711.48999999999
2020-03-23,102453.45
2020-03-24,102431.86
2020-03-25,102431.86
2020-03-26,102431.86
2020-03-27,102431.86
2020-03-30,102431.86
2020-03-31,102431.86
2020-04-01,102431.86
2020-04-02,102431.86
2020-04-03,102431.86
2020-04-06,102431.86
2020-04-07,102431.86
2020-04-08,102431.86
2020-04-09,102431.86
2020-04-13,102431.86
2020-04-14,102431.86
2020-04-15,102431.86
2020-04-16,102431.86
2020-04-17,102431.86
2020-04-20,102431.86
2020-04-21,102431.86
2020-04-22,102431.86
2020-04-23,102431.86
2020-04-24,102431.86
2020-04-27,102431.86
2020-04-28,102431.86
2020-04-29,102431.86
2020-04-30,102431.86
2020-05-01,102431.86
2020-05-04,102431.86
2020-05-05,102431.86
2020-05-06,102431.86
2020-05-07,102431.86
2020-05-08,102431.86
2020-05-11,102431.86
2020-05-12,102431.86
2020-05-13,102431.86
2020-05-14,102431.86
2020-05-15,102431.86
2020-05-18,102431.86
2020-05-19,102431.86
2020-05-20,102431.86
2020-05-21,102431.86
2020-05-22,102431.86
2020-05-26,102431.86
2020-05-27,102431.86
2020-05-28,102431.86
2020-05-29,102431.86
2020-06-01,102431.86
2020-06-02,102431.86
2020-06-03,102431.86
2020-06-04,102431.86
2020-06-05,102431.86
2020-06-08,102431.86
2020-06-09,102431.86
2020-06-10,102431.86
2020-06-11,102431.86
2020-06-12,102431.86
2020-06-15,102431.86
2020-06-16,102431.86
2020-06-17,102431.86
2020-06-18,102431.86
2020-06-19,102431.86
2020-06-22,102431.86
2020-06-23,102362.84
2020-06-24,102457.13
2020-06-25,102121.59000000001
2020-06-26,102277.8
2020-06-29,102386.05
2020-06-30,102505.04000000001
2020-07-01,102569.05999999998
2020-07-02,102825.22
2020-07-06,102908.45
2020-07-07,102559.89000000001
2020-07-08,102435.12999999999
2020-07-09,102251.43
2020-07-10,102234.83
2020-07-13,102080.28
2020-07-14,102084.24
2020-07-15,102178.36
2020-07-16,102110.45000000001
2020-07-17,102381.44
2020-07-20,102498.91
2020-07-21,102625.23
2020-07-22,102726.98
2020-07-23,102733.19
2020-07-24,102697.85
2020-07-27,102697.85
2020-07-28,102697.85
2020-07-29,102697.85
2020-07-30,102697.85
2020-07-31,102697.85
2020-08-03,102697.85
2020-08-04,102697.85
2020-08-05,102697.85
2020-08-06,102697.85
2020-08-07,102697.85
2020-08-10,102697.85
2020-08-11,102697.85
2020-08-12,102697.85
2020-08-13,102697.85
2020-08-14,102697.85
2020-08-17,102697.85
2020-08-18,102697.85
2020-08-19,102697.85
2020-08-20,102697.85
2020-08-21,102697.85
2020-08-24,102697.85
2020-08-25,102697.85
2020-08-26,102697.85
2020-08-27,102697.85
2020-08-28,102697.85
2020-08-31,102697.85
2020-09-01,102451.59
2020-09-02,102100.36
2020-09-03,102255.50000000001
2020-09-04,102228.89
2020-09-08,102287.44
2020-09-09,101922.47000000002
2020-09-10,101915.42
2020-09-11,101736.64
2020-09-14,101601.86
2020-09-15,101361.1
2020-09-16,101430.35
2020-09-17,101756.20000000001
2020-09-18,101536.32
2020-09-21,101408.77000000002
2020-09-22,101446.36
2020-09-23,101818.83999999998
2020-09-24,101882.57
2020-09-25,101800.12000000001
2020-09-28,101791.56
2020-09-29,101810.26
2020-09-30,101844.46
2020-10-01,101861.3
2020-10-02,102218.69000000002
2020-10-05,102507.15
2020-10-06,102473.26
2020-10-07,102473.26
2020-10-08,102473.26
2020-10-09,102473.26
2020-10-12,102473.26
2020-10-13,102473.26
2020-10-14,102473.26
2020-10-15,102473.26
2020-10-16,102473.26
2020-10-19,102473.26
2020-10-20,102473.26
2020-10-21,102473.26
2020-10-22,102473.26
2020-10-23,102473.26
2020-10-26,102473.26
2020-10-27,102473.26
2020-10-28,102473.26
2020-10-29,102473.26
2020-10-30,102473.26
2020-11-02,102473.26
2020-11-03,102473.26
2020-11-04,102473.26
2020-11-05,102473.26
2020-11-06,102473.26
2020-11-09,102473.26
2020-11-10,102473.26
2020-11-11,102473.26
2020-11-12,102473.26
2020-11-13,102473.26
2020-11-16,102473.26
2020-11-17,102473.26
2020-11-18,102473.26
2020-11-19,102473.26
2020-11-20,102473.26
2020-11-23,102473.26
2020-11-24,102473.26
2020-11-25,102473.26
2020-11-27,102473.26
2020-11-30,102473.26
2020-12-01,102473.26
2020-12-02,102473.26
2020-12-03,102473.26
2020-12-04,102473.26
2020-12-07,102473.26
2020-12-08,102473.26
2020-12-09,102473.26
2020-12-10,102473.26
2020-12-11,102473.26
2020-12-14,102473.26
2020-12-15,102473.26
2020-12-16,102473.26
2020-12-17,102473.26
2020-12-18,102473.26
2020-12-21,102473.26
2020-12-22,102473.26
2020-12-23,102473.26
2020-12-24,102473.26
2020-12-28,102473.26
2020-12-29,102473.26
2020-12-30,102473.26
2020-12-31,102473.26
2021-01-04,102473.26
2021-01-05,102473.26
2021-01-06,102473.26
2021-01-07,102473.26
2021-01-08,102473.26
2021-01-11,102473.26
2021-01-12,102473.26
2021-01-13,102473.26
2021-01-14,102473.26
2021-01-15,102473.26
2021-01-19,102473.26
2021-01-20,102473.26
2021-01-21,102473.26
2021-01-22,102473.26
2021-01-25,102473.26
2021-01-26,102473.26
2021-01-27,102473.26
2021-01-28,102473.26
2021-01-29,102473.26
2021-02-01,102473.26
2021-02-02,102473.26
2021-02-03,102473.26
2021-02-04,102473.26
2021-02-05,102473.26
2021-02-08,102473.26
2021-02-09,102555.15662939199
2021-02-10,102381.86409940598
2021-02-11,102146.237085362
2021-02-12,102275.41487691799
2021-02-16,102142.42508008999
2021-02-17,102860.22977173798
2021-02-18,103144.44960567399
2021-02-19,103346.89577813
2021-02-22,102774.39816916198
2021-02-23,103108.35852350199
2021-02-24,103122.10018766798
2021-02-25,104202.301563306
2021-02-26,105017.55832521399
2021-03-01,104743.29889215
2021-03-02,105330.31696206
2021-03-03,105421.661626024
2021-03-04,105250.08039948001
2021-03-05,105816.80876390998
2021-03-08,105942.64592719
2021-03-09,106533.885895412
2021-03-10,106563.83882930999
2021-03-11,106632.13725710001
2021-03-12,106356.23825187598
2021-03-15,106507.86793469799
2021-03-16,106364.84600571601
2021-03-17,106447.15252814798
2021-03-18,105941.662183894
2021-03-19,106533.87564808599
2021-03-22,106499.59834261601
2021-03-23,106492.78387082598
2021-03-24,106476.398396552
2021-03-25,106409.66780963998
2021-03-26,105984.86491031
2021-03-29,106349.49551136799
2021-03-30,106251.459343526
2021-03-31,106662.715277884
2021-04-01,106363.626573922
2021-04-05,106341.83051151999
2021-04-06,106341.83051151999
2021-04-07,106341.83051151999
2021-04-08,106341.83051151999
2021-04-09,106341.83051151999
2021-04-12,106341.83051151999
2021-04-13,106341.83051151999
2021-04-14,106341.83051151999
2021-04-15,106341.83051151999
2021-04-16,106341.83051151999
2021-04-19,106341.83051151999
2021-04-20,106341.83051151999
2021-04-21,106341.83051151999
2021-04-22,106341.83051151999
2021-04-23,106341.83051151999
2021-04-26,106341.83051151999
2021-04-27,106341.83051151999
2021-04-28,106341.83051151999
2021-04-29,106341.83051151999
2021-04-30,106341.83051151999
2021-05-03,106341.83051151999
2021-05-04,106341.83051151999
2021-05-05,106341.83051151999
2021-05-06,106341.83051151999
2021-05-07,106341.83051151999
2021-05-10,106341.83051151999
2021-05-11,106031.84890001999
2021-05-12,106136.20766800399
2021-05-13,106161.42633728999
2021-05-14,106551.52154345799
2021-05-17,106508.08312854399
2021-05-18,106044.16618587199
2021-05-19,105577.35949726799
2021-05-20,105735.62944733801
2021-05-21,105885.578568696
2021-05-24,106127.159279146
2021-05-25,106020.453873508
2021-05-26,105879.11250598998
2021-05-27,105653.48688212199
2021-05-28,105959.77945626198
2021-06-01,106182.02346255
2021-06-02,106475.79380431799
2021-06-03,106244.37844126
2021-06-04,106427.08826383999
2021-06-07,106336.635117238
2021-06-08,106295.16418891601
2021-06-09,105828.828877308
2021-06-10,105981.206614928
2021-06-11,106004.37581901399
2021-06-14,106144.53874404199
2021-06-15,106154.30444572
2021-06-16,105984.434522618
2021-06-17,105883.45737221399
2021-06-18,104583.461101202
2021-06-21,105456.072146732
2021-06-22,105108.66730068001
2021-06-23,104934.08360761798
2021-06-24,105337.018713264
2021-06-25,106036.275744852
2021-06-28,105529.47374286999
2021-06-29,105576.293775364
2021-06-30,105749.299380222
2021-07-01,106546.203181264
2021-07-02,106416.707722602
