iShares Russell 1000 ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","2,960,130,168.09","6.88","2,960,130,168.09","16,687,131.00","177.39","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,628,754,449.44","6.11","2,628,754,449.44","10,271,782.00","255.92","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,974,821,374.76","4.59","1,974,821,374.76","5,287,906.00","373.46","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,434,724,642.01","3.33","1,434,724,642.01","6,839,513.00","209.77","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,225,823,793.09","2.85","1,225,823,793.09","4,144,517.00","295.77","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,035,761,878.35","2.41","1,035,761,878.35","3,292,837.00","314.55","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","993,695,611.02","2.31","993,695,611.02","3,374,637.00","294.46","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","894,288,881.62","2.08","894,288,881.62","1,556,747.00","574.46","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","725,435,683.18","1.69","725,435,683.18","2,011,802.00","360.59","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","627,742,458.95","1.46","627,742,458.95","1,315,057.00","477.35","United States","NYSE","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","570,612,802.20","1.33","570,612,802.20","1,936,907.00","294.60","United States","NYSE","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","534,414,522.96","1.24","534,414,522.96","571,212.00","935.58","United States","NYSE","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","484,038,291.81","1.12","484,038,291.81","3,012,249.00","160.69","United States","NYSE","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","417,007,302.88","0.97","417,007,302.88","1,715,797.00","243.04","United States","NYSE","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","390,204,102.12","0.91","390,204,102.12","3,102,028.00","125.79","United States","NASDAQ","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","361,025,574.40","0.84","361,025,574.40","1,200,218.00","300.80","United States","NYSE","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","321,204,391.20","0.75","321,204,391.20","316,470.00","1,014.96","United States","NASDAQ","USD","1.00","USD","-"
"NFLX","NETFLIX INC","Communication","Equity","298,123,487.16","0.69","298,123,487.16","3,021,726.00","98.66","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","291,770,955.84","0.68","291,770,955.84","796,666.00","366.24","United States","NASDAQ","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","283,050,013.44","0.66","283,050,013.44","573,626.00","493.44","United States","NYSE","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","265,779,748.66","0.62","265,779,748.66","1,335,778.00","198.97","United States","NYSE","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","263,808,567.56","0.61","263,808,567.56","1,263,209.00","208.84","United States","NYSE","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","249,804,840.00","0.58","249,804,840.00","1,148,528.00","217.50","United States","NASDAQ","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","239,723,423.84","0.56","239,723,423.84","1,674,982.00","143.12","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","236,826,761.22","0.55","236,826,761.22","330,201.00","717.22","United States","NYSE","USD","1.00","USD","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","231,281,677.12","0.54","231,281,677.12","1,557,872.00","148.46","United States","NASDAQ","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","231,028,527.30","0.54","231,028,527.30","4,678,585.00","49.38","United States","NYSE","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","228,134,410.41","0.53","228,134,410.41","709,307.00","321.63","United States","NYSE","USD","1.00","USD","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","224,303,090.22","0.52","224,303,090.22","2,838,561.00","79.02","United States","NASDAQ","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","213,985,105.38","0.50","213,985,105.38","1,770,374.00","120.87","United States","NYSE","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","212,783,763.92","0.49","212,783,763.92","2,773,511.00","76.72","United States","NYSE","USD","1.00","USD","-"
"GE","GE AEROSPACE","Industrials","Equity","208,574,890.92","0.48","208,574,890.92","741,837.00","281.16","United States","NYSE","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","196,933,290.39","0.46","196,933,290.39","565,137.00","348.47","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","195,642,946.28","0.45","195,642,946.28","895,637.00","218.44","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX CORP","Industrials","Equity","187,268,514.09","0.44","187,268,514.09","954,429.00","196.21","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","180,692,958.72","0.42","180,692,958.72","209,368.00","863.04","United States","NYSE","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","179,988,596.94","0.42","179,988,596.94","649,169.00","277.26","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","177,818,591.60","0.41","177,818,591.60","2,206,186.00","80.60","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE CORP","Information Technology","Equity","175,795,207.38","0.41","175,795,207.38","1,200,951.00","146.38","United States","NYSE","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","175,463,648.70","0.41","175,463,648.70","1,109,827.00","158.10","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA INC","Industrials","Equity","172,854,316.62","0.40","172,854,316.62","192,366.00","898.57","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","168,371,000.00","0.39","168,371,000.00","335,000.00","502.60","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","164,474,740.32","0.38","164,474,740.32","662,777.00","248.16","United States","NYSE","USD","1.00","USD","-"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","158,666,469.72","0.37","158,666,469.72","3,149,394.00","50.38","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","156,646,007.10","0.36","156,646,007.10","510,015.00","307.14","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","153,264,212.43","0.36","153,264,212.43","976,143.00","157.01","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","148,777,782.40","0.35","148,777,782.40","3,011,696.00","49.40","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","142,302,863.00","0.33","142,302,863.00","1,234,732.00","115.25","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","142,212,851.04","0.33","142,212,851.04","93,756.00","1,516.84","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","139,489,809.17","0.32","139,489,809.17","4,923,749.00","28.33","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","138,446,982.00","0.32","138,446,982.00","1,486,280.00","93.15","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","134,000,677.98","0.31","134,000,677.98","808,158.00","165.81","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","133,583,212.44","0.31","133,583,212.44","383,926.00","347.94","United States","NASDAQ","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","132,264,663.96","0.31","132,264,663.96","269,126.00","491.46","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","128,687,000.69","0.30","128,687,000.69","797,861.00","161.29","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","126,898,786.08","0.29","126,898,786.08","1,233,584.00","102.87","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","126,277,513.83","0.29","126,277,513.83","648,009.00","194.87","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","123,972,367.05","0.29","123,972,367.05","887,355.00","139.71","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","122,260,824.49","0.28","122,260,824.49","1,265,509.00","96.61","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","121,588,758.76","0.28","121,588,758.76","649,582.00","187.18","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","115,525,173.54","0.27","115,525,173.54","384,853.00","300.18","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","115,055,468.32","0.27","115,055,468.32","881,516.00","130.52","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","114,664,621.44","0.27","114,664,621.44","4,048,892.00","28.32","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","113,713,687.80","0.26","113,713,687.80","251,540.00","452.07","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","112,069,417.72","0.26","112,069,417.72","538,226.00","208.22","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","111,557,043.76","0.26","111,557,043.76","1,189,688.00","93.77","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","111,317,504.00","0.26","111,317,504.00","869,668.00","128.00","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","110,841,212.90","0.26","110,841,212.90","348,185.00","318.34","United States","NASDAQ","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","105,001,279.04","0.24","105,001,279.04","108,634.00","966.56","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC CORP","Industrials","Equity","104,439,046.77","0.24","104,439,046.77","426,787.00","244.71","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","104,019,551.35","0.24","104,019,551.35","453,343.00","229.45","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","103,081,060.80","0.24","103,081,060.80","1,434,870.00","71.84","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","100,993,892.40","0.23","100,993,892.40","279,684.00","361.10","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","100,184,478.49","0.23","100,184,478.49","174,019.00","575.71","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","99,168,205.23","0.23","99,168,205.23","490,131.00","202.33","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","97,312,186.31","0.23","97,312,186.31","23,201.00","4,194.31","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","96,596,493.60","0.22","96,596,493.60","761,802.00","126.80","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","93,296,779.68","0.22","93,296,779.68","736,476.00","126.68","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","93,236,194.20","0.22","93,236,194.20","216,245.00","431.16","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","93,000,648.62","0.22","93,000,648.62","569,822.00","163.21","United States","NASDAQ","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","92,423,089.44","0.21","92,423,089.44","400,048.00","231.03","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","91,614,900.16","0.21","91,614,900.16","147,104.00","622.79","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","89,198,847.15","0.21","89,198,847.15","782,103.00","114.05","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","88,494,072.03","0.21","88,494,072.03","661,539.00","133.77","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","88,247,368.26","0.20","88,247,368.26","438,322.00","201.33","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","86,719,490.00","0.20","86,719,490.00","1,455,025.00","59.60","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","85,848,237.20","0.20","85,848,237.20","449,185.00","191.12","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","85,604,824.24","0.20","85,604,824.24","260,728.00","328.33","United States","NYSE","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","82,228,972.32","0.19","82,228,972.32","194,634.00","422.48","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING INC","Information Technology","Equity","82,217,338.16","0.19","82,217,338.16","555,823.00","147.92","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","81,939,702.16","0.19","81,939,702.16","90,236.00","908.06","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","81,457,128.50","0.19","81,457,128.50","417,194.00","195.25","United States","NYSE","USD","1.00","USD","-"
