sector,pair,ticker_y,ticker_x,score,coint_pvalue,half_life,hedge_ratio,hurst_exp,correlation,spread_std
energy,PSX/VLO,PSX,VLO,0.8224,0.0077,13.5,0.6148,0.165,0.86,0.0385
financials,GS/C,GS,C,0.7794,0.0111,8.0,0.9192,0.142,0.831,0.0269
realestate,EQR/UDR,EQR,UDR,0.7597,0.0224,8.4,0.7851,0.181,0.895,0.0164
utilities,DUK/WEC,DUK,WEC,0.7569,0.0064,9.5,0.8165,0.207,0.786,0.0187
realestate,EQR/AVB,EQR,AVB,0.747,0.0261,10.0,0.6603,0.233,0.917,0.0189
realestate,ESS/MAA,ESS,MAA,0.7421,0.0221,10.1,0.6925,0.177,0.836,0.0254
realestate,ESS/UDR,ESS,UDR,0.7398,0.0334,12.4,0.698,0.193,0.892,0.0232
financials,TFC/FITB,TFC,FITB,0.7363,0.0227,10.6,0.9057,0.246,0.879,0.0253
financials,BAC/AXP,BAC,AXP,0.7215,0.0121,8.1,0.9409,0.197,0.765,0.0287
financials,PNC/FITB,PNC,FITB,0.6829,0.0357,6.8,0.9326,0.239,0.885,0.0179
realestate,EQR/MAA,EQR,MAA,0.6668,0.0407,13.3,0.7323,0.308,0.872,0.0266
realestate,EQR/ESS,EQR,ESS,0.6645,0.0702,16.5,0.957,0.201,0.9,0.023
financials,WFC/GS,WFC,GS,0.6584,0.0433,11.8,0.5218,0.176,0.775,0.0361
staples,GIS/CPB,GIS,CPB,0.6583,0.0297,10.3,0.7379,0.25,0.772,0.0266
financials,WFC/MS,WFC,MS,0.6473,0.0508,11.5,0.6422,0.188,0.802,0.0342
energy,CVX/DVN,CVX,DVN,0.598,0.0521,14.2,0.7204,0.284,0.767,0.0451
