pair,direction,entry_date,exit_date,entry_y,exit_y,entry_x,exit_x,shares_y,shares_x,gross_pnl,costs,net_pnl,duration_d,forced_close,zscore_exit
AME/ITW,LONG,2018-03-06,2018-03-15,71.9973,73.8796,132.3972,139.3836,260.43,-275.14,-1432.05,112.77,-1544.82,9,False,-0.109
BAC/FITB,SHORT,2018-03-13,2018-03-26,26.7646,25.1766,25.0095,23.585,-691.01,571.97,282.56,63.69,218.88,13,False,-0.751
PNC/FITB,SHORT,2018-03-15,2018-03-26,119.338,115.6642,24.6497,23.585,-154.55,102.8,458.33,41.28,417.05,11,False,0.149
XEL/WEC,SHORT,2018-03-19,2018-03-28,34.6279,35.5452,47.8121,48.2069,-532.02,458.1,-307.15,81.32,-388.47,9,False,-0.749
ETN/PH,SHORT,2018-04-02,2018-04-11,66.7395,66.2928,147.7642,151.1172,-277.3,112.92,502.5,70.64,431.86,9,False,0.159
PHM/MHO,SHORT,2018-04-04,2018-04-25,27.9377,27.9652,33.23,31.36,-663.71,244.35,-475.17,52.89,-528.06,21,False,-0.013
PNC/FITB,LONG,2018-04-20,2018-04-25,109.4825,110.6827,23.1893,24.754,171.5,-216.35,-132.66,48.13,-180.79,5,False,1.61
AME/ITW,LONG,2018-04-25,2018-05-07,68.1841,68.9896,124.7913,119.1856,272.84,-275.04,1761.57,104.53,1657.04,12,False,-0.26
BAC/PNC,SHORT,2018-04-20,2018-05-08,25.0277,24.7548,109.4825,112.0729,-750.22,122.32,521.63,64.45,457.19,18,False,0.392
KBH/MHO,LONG,2018-04-27,2018-05-08,24.3589,24.8045,31.9,30.99,778.85,-721.51,1003.68,83.67,920.02,11,False,-0.043
BAC/FITB,SHORT,2018-04-23,2018-05-15,25.0773,25.8217,23.5658,25.3223,-747.54,437.26,211.61,59.43,152.19,22,False,0.016
PHM/KBH,SHORT,2018-04-27,2018-05-16,28.4507,26.9393,24.3589,22.8148,-666.83,76.45,889.79,40.54,849.25,19,False,-0.813
PHM/MHO,SHORT,2018-05-02,2018-05-17,27.9927,27.095,30.19,28.22,-684.91,-154.9,919.98,37.42,882.56,15,False,0.036
AME/ITW,LONG,2018-05-24,2018-06-05,72.079,71.6526,121.3011,119.8853,268.98,-536.85,645.4,168.14,477.26,12,False,0.076
DHI/LEN,LONG,2018-05-17,2018-06-06,38.0047,38.877,45.3354,46.2103,509.86,-605.61,-85.1,94.64,-179.74,20,False,-0.218
ETN/PH,LONG,2018-05-29,2018-06-07,66.6998,69.6472,153.9031,156.3534,291.7,-315.31,87.19,137.6,-50.41,9,False,0.599
PNC/FITB,LONG,2018-06-19,2018-06-21,107.9859,107.3706,22.562,22.6063,178.72,-198.46,-118.77,47.45,-166.22,2,False,-2.209
BAC/FITB,LONG,2018-06-20,2018-06-21,24.2829,24.3244,22.6653,22.6063,787.25,-700.09,74.02,69.96,4.06,1,False,-1.957
PHM/KBH,LONG,2018-06-14,2018-07-05,28.2954,26.7979,23.5981,23.8412,686.45,-845.03,-1233.35,77.91,-1311.25,21,False,-0.246
BAC/PNC,SHORT,2018-06-19,2018-07-09,24.2995,24.1251,107.9859,105.4335,-794.24,607.97,-1413.31,168.21,-1581.52,20,False,0.133
BAC/PNC,LONG,2018-07-19,2018-07-23,24.64,25.5369,107.6313,110.2702,749.22,-863.39,-1606.46,225.73,-1832.19,4,True,-2.048
DHI/LEN,SHORT,2018-07-11,2018-07-25,37.7935,36.306,47.7301,45.413,-498.78,222.66,226.01,57.7,168.32,14,False,0.067
