date,equity,cash,mtm_pnl,n_open,drawdown,dd_scale,open_pairs
2018-01-02,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-03,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-04,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-05,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-08,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-09,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-10,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-11,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-12,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-16,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-17,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-18,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-19,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-22,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-23,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-24,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-25,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-26,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-29,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-30,100000.0,100000.0,0.0,0,0.0,1.0,
2018-01-31,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-01,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-02,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-05,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-06,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-07,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-08,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-09,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-12,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-13,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-14,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-15,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-16,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-20,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-21,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-22,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-23,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-26,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-27,100000.0,100000.0,0.0,0,0.0,1.0,
2018-02-28,100000.0,100000.0,0.0,0,0.0,1.0,
2018-03-01,100000.0,100000.0,0.0,0,0.0,1.0,
2018-03-02,100000.0,100000.0,0.0,0,0.0,1.0,
2018-03-05,100000.0,100000.0,0.0,0,0.0,1.0,
2018-03-06,100000.0,100000.0,0.0,0,0.0,1.0,
2018-03-07,99741.59,99944.82,-203.23,1,0.258,1.0,AME/ITW
2018-03-08,99189.04,99944.82,-755.78,1,0.811,1.0,AME/ITW
2018-03-09,98655.75,99944.82,-1289.08,1,1.344,1.0,AME/ITW
2018-03-12,98795.25,99944.82,-1149.57,1,1.205,1.0,AME/ITW
2018-03-13,98638.14,99944.82,-1306.68,1,1.362,1.0,AME/ITW
2018-03-14,98634.88,99912.02,-1277.14,2,1.365,1.0,AME/ITW|BAC/FITB
2018-03-15,98422.77,99912.02,-1489.25,2,1.577,1.0,AME/ITW|BAC/FITB
2018-03-16,98121.5,98401.4,-279.91,2,1.879,1.0,BAC/FITB|PNC/FITB
2018-03-19,98255.31,98401.4,-146.09,2,1.745,1.0,BAC/FITB|PNC/FITB
2018-03-20,98119.05,98361.08,-242.03,3,1.881,1.0,BAC/FITB|PNC/FITB|XEL/WEC
2018-03-21,98049.78,98361.08,-311.3,3,1.95,1.0,BAC/FITB|PNC/FITB|XEL/WEC
2018-03-22,98805.8,98361.08,444.72,3,1.194,1.0,BAC/FITB|PNC/FITB|XEL/WEC
2018-03-23,99690.86,98361.08,1329.78,3,0.309,1.0,BAC/FITB|PNC/FITB|XEL/WEC
2018-03-26,98894.63,98361.08,533.56,3,1.105,1.0,BAC/FITB|PNC/FITB|XEL/WEC
2018-03-27,98846.64,99050.78,-204.14,1,1.153,1.0,XEL/WEC
2018-03-28,98743.63,99050.78,-307.15,1,1.256,1.0,XEL/WEC
2018-03-29,98702.63,98702.63,0.0,0,1.297,1.0,
2018-04-02,98702.63,98702.63,0.0,0,1.297,1.0,
2018-04-03,98845.3,98667.44,177.86,1,1.155,1.0,ETN/PH
2018-04-04,98893.15,98667.44,225.71,1,1.107,1.0,ETN/PH
2018-04-05,98893.32,98640.78,252.54,2,1.107,1.0,ETN/PH|PHM/MHO
2018-04-06,99451.7,98640.78,810.93,2,0.548,1.0,ETN/PH|PHM/MHO
2018-04-09,99592.42,98640.78,951.64,2,0.408,1.0,ETN/PH|PHM/MHO
2018-04-10,99902.69,98640.78,1261.91,2,0.097,1.0,ETN/PH|PHM/MHO
2018-04-11,99730.6,98640.78,1089.83,2,0.269,1.0,ETN/PH|PHM/MHO
2018-04-12,99816.04,99107.83,708.21,1,0.184,1.0,PHM/MHO
2018-04-13,99689.51,99107.83,581.68,1,0.31,1.0,PHM/MHO
2018-04-16,99661.01,99107.83,553.18,1,0.339,1.0,PHM/MHO
2018-04-17,99710.76,99107.83,602.92,1,0.289,1.0,PHM/MHO
2018-04-18,99684.11,99107.83,576.27,1,0.316,1.0,PHM/MHO
2018-04-19,100114.35,99107.83,1006.52,1,0.0,1.0,PHM/MHO
2018-04-20,100140.58,99107.83,1032.75,1,0.0,1.0,PHM/MHO
2018-04-23,99980.39,99051.87,928.52,3,0.16,1.0,PHM/MHO|BAC/PNC|PNC/FITB
2018-04-24,99724.6,99022.82,701.78,4,0.415,1.0,PHM/MHO|BAC/PNC|PNC/FITB|BAC/FITB
2018-04-25,99267.13,99022.82,244.31,4,0.872,1.0,PHM/MHO|BAC/PNC|PNC/FITB|BAC/FITB
2018-04-26,101469.68,98311.5,3158.19,3,0.0,1.0,BAC/PNC|BAC/FITB|AME/ITW
2018-04-27,101183.11,98311.5,2871.61,3,0.282,1.0,BAC/PNC|BAC/FITB|AME/ITW
2018-04-30,101903.0,98248.68,3654.32,5,0.0,1.0,BAC/PNC|BAC/FITB|AME/ITW|KBH/MHO|PHM/KBH
2018-05-01,101246.05,98248.68,2997.37,5,0.645,1.0,BAC/PNC|BAC/FITB|AME/ITW|KBH/MHO|PHM/KBH
2018-05-02,102252.78,98248.68,4004.1,5,0.0,1.0,BAC/PNC|BAC/FITB|AME/ITW|KBH/MHO|PHM/KBH
2018-05-03,102243.92,98234.18,4009.74,6,0.009,1.0,BAC/PNC|BAC/FITB|AME/ITW|KBH/MHO|PHM/KBH|PHM/MHO
2018-05-04,101975.51,98234.18,3741.33,6,0.271,1.0,BAC/PNC|BAC/FITB|AME/ITW|KBH/MHO|PHM/KBH|PHM/MHO
2018-05-07,102027.38,98234.18,3793.19,6,0.22,1.0,BAC/PNC|BAC/FITB|AME/ITW|KBH/MHO|PHM/KBH|PHM/MHO
2018-05-08,101548.43,99944.15,1604.29,5,0.689,1.0,BAC/PNC|BAC/FITB|KBH/MHO|PHM/KBH|PHM/MHO
2018-05-09,101723.78,101395.5,328.28,3,0.517,1.0,BAC/FITB|PHM/KBH|PHM/MHO
2018-05-10,101352.07,101395.5,-43.43,3,0.881,1.0,BAC/FITB|PHM/KBH|PHM/MHO
2018-05-11,101040.35,101395.5,-355.15,3,1.186,1.0,BAC/FITB|PHM/KBH|PHM/MHO
2018-05-14,101468.42,101395.5,72.91,3,0.767,1.0,BAC/FITB|PHM/KBH|PHM/MHO
2018-05-15,103730.66,101395.5,2335.16,3,0.0,1.0,BAC/FITB|PHM/KBH|PHM/MHO
2018-05-16,103517.95,101576.74,1941.21,2,0.205,1.0,PHM/KBH|PHM/MHO
2018-05-17,103366.81,102446.82,919.98,1,0.351,1.0,PHM/MHO
2018-05-18,103117.02,103297.04,-180.03,1,0.592,1.0,DHI/LEN
2018-05-21,102885.58,103297.04,-411.47,1,0.815,1.0,DHI/LEN
2018-05-22,103283.74,103297.04,-13.3,1,0.431,1.0,DHI/LEN
2018-05-23,103131.12,103297.04,-165.92,1,0.578,1.0,DHI/LEN
2018-05-24,103403.37,103297.04,106.32,1,0.316,1.0,DHI/LEN
2018-05-25,102410.35,103212.54,-802.18,2,1.273,1.0,DHI/LEN|AME/ITW
2018-05-29,103766.77,103212.54,554.23,2,0.0,1.0,DHI/LEN|AME/ITW
2018-05-30,102898.06,103144.55,-246.49,3,0.837,1.0,DHI/LEN|AME/ITW|ETN/PH
2018-05-31,104561.1,103144.55,1416.55,3,0.0,1.0,DHI/LEN|AME/ITW|ETN/PH
2018-06-01,103057.86,103144.55,-86.69,3,1.438,1.0,DHI/LEN|AME/ITW|ETN/PH
2018-06-04,103379.29,103144.55,234.74,3,1.13,1.0,DHI/LEN|AME/ITW|ETN/PH
2018-06-05,104235.4,103144.55,1090.85,3,0.311,1.0,DHI/LEN|AME/ITW|ETN/PH
2018-06-06,104058.47,103706.32,352.14,2,0.481,1.0,DHI/LEN|ETN/PH
2018-06-07,103660.61,103573.42,87.19,1,0.861,1.0,ETN/PH
2018-06-08,103590.99,103590.99,0.0,0,0.928,1.0,
2018-06-11,103590.99,103590.99,0.0,0,0.928,1.0,
2018-06-12,103590.99,103590.99,0.0,0,0.928,1.0,
2018-06-13,103590.99,103590.99,0.0,0,0.928,1.0,
2018-06-14,103590.99,103590.99,0.0,0,0.928,1.0,
2018-06-15,103379.36,103551.63,-172.27,1,1.13,1.0,PHM/KBH
2018-06-18,103218.32,103551.63,-333.31,1,1.284,1.0,PHM/KBH
2018-06-19,102931.13,103551.63,-620.5,1,1.559,1.0,PHM/KBH
2018-06-20,101955.51,103442.9,-1487.39,3,2.492,1.0,PHM/KBH|BAC/PNC|PNC/FITB
