key,entry_z,exit_z,stop_z,mean_oos_sharpe,std_oos_sharpe,adj_sharpe,mean_oos_return_pct,mean_max_dd_pct,n_folds_evaluated,n_folds_profitable,total_oos_trades,min_trades_any_fold,stability_penalty,dd_penalty,activity_penalty,is_sparse,status
e2.4_x0.5_s4.0,2.4,0.5,4.0,1.8,0.1958,1.7021,4.653,1.197,3,3,25,7,0.0979,0.0,0.0,False,ok
e2.4_x0.5_s3.5,2.4,0.5,3.5,1.8,0.1958,1.7021,4.653,1.197,3,3,25,7,0.0979,0.0,0.0,False,ok
e2.4_x0.5_s3.2,2.4,0.5,3.2,1.7297,0.1779,1.6407,4.303,1.197,3,3,25,7,0.089,0.0,0.0,False,ok
e2.4_x0.7_s3.5,2.4,0.7,3.5,1.6663,0.1401,1.5963,3.81,1.03,3,3,23,7,0.0701,0.0,0.0,False,ok
e2.4_x0.7_s4.0,2.4,0.7,4.0,1.6663,0.1401,1.5963,3.81,1.03,3,3,23,7,0.0701,0.0,0.0,False,ok
e2.4_x0.7_s3.2,2.4,0.7,3.2,1.5927,0.061,1.5622,3.46,1.03,3,3,23,7,0.0305,0.0,0.0,False,ok
e2.4_x0.3_s3.2,2.4,0.3,3.2,1.533,0.2683,1.3988,3.837,1.3,3,3,22,7,0.1342,0.0,0.0,False,ok
e2.4_x0.3_s3.5,2.4,0.3,3.5,1.4843,0.3362,1.3162,4.207,1.393,3,3,25,7,0.1681,0.0,0.0,False,ok
e2.4_x0.3_s4.0,2.4,0.3,4.0,1.4843,0.3362,1.3162,4.207,1.393,3,3,25,7,0.1681,0.0,0.0,False,ok
e2.6_x0.0_s3.2,2.6,0.0,3.2,1.601,0.1976,1.3022,5.01,1.16,3,3,13,3,0.0988,0.0,0.2,True,ok
e2.6_x0.5_s4.0,2.6,0.5,4.0,1.6173,0.3219,1.2564,4.293,1.137,3,3,15,4,0.1609,0.0,0.2,True,ok
e2.6_x0.5_s3.5,2.6,0.5,3.5,1.6173,0.3219,1.2564,4.293,1.137,3,3,15,4,0.1609,0.0,0.2,True,ok
e2.6_x0.5_s3.2,2.6,0.5,3.2,1.5313,0.2009,1.2309,3.95,1.137,3,3,15,4,0.1005,0.0,0.2,True,ok
e2.0_x0.3_s2.8,2.0,0.3,2.8,1.278,0.1,1.228,4.947,1.92,3,3,57,16,0.05,0.0,0.0,False,ok
e2.4_x0.0_s3.2,2.4,0.0,3.2,1.579,0.354,1.202,4.663,1.517,3,3,20,4,0.177,0.0,0.2,True,ok
e2.6_x0.7_s4.0,2.6,0.7,4.0,1.4977,0.3604,1.1175,3.333,0.807,3,3,14,4,0.1802,0.0,0.2,True,ok
