date,n_pairs,pairs
2020-01-02,19,AEP/XEL|NEE/ETR|O/UDR|O/AVB|WEC/ES|PH/ITW|EMR/ROK|PEG/XEL|PLD/MAA|AVB/UDR|XEL/ES|DHI/KBH|PNC/COF|SO/ETR|PH/AME|PH/DOV|PEG/WEC|C/TFC|HON/DOV
2020-03-05,19,AEP/XEL|CB/WRB|O/UDR|DHI/KBH|D/ES|EQR/ESS|DUK/D|D/WEC|D/XEL|PNC/COF|C/COF|NEE/D|PLD/MAA|WEC/ES|PNC/TFC|SO/ETR|C/PNC|TOL/KBH|COP/EOG
2020-05-07,23,COF/FITB|D/ES|EOG/HAL|D/WEC|BAC/PNC|EQR/ESS|C/PNC|SRE/ETR|MS/COF|AME/DOV|ABT/DHR|DHI/KBH|C/USB|D/XEL|C/TFC|PEP/CL|MET/AFL|PEP/PG|HON/XYL|PH/AME|PHM/NVR|PLD/AMT|DHI/NVR
2020-07-09,32,DUK/ETR|C/COF|D/ES|COF/FITB|AME/DOV|MET/AIG|DHI/LEN|C/PNC|ABT/DHR|COP/SLB|USB/TFC|ESS/UDR|USB/COF|EOG/HAL|D/WEC|COP/BKR|DUK/AEP|MHO/TPH|O/ESS|PHM/NVR|TPH/TMHC|C/TFC|DUK/SO|DUK/SRE|CB/MET|D/XEL|O/EQR|AFL/AIG|MET/L|CB/HIG|PLD/AMT|MET/AFL
2020-09-10,36,DUK/ETR|C/COF|MHO/TPH|EQR/ESS|DUK/SO|AME/DOV|C/PNC|D/ES|VICI/WY|COF/FITB|ABT/DHR|ESS/UDR|DUK/SRE|BAC/PNC|ETN/ITW|D/WEC|C/TFC|COP/BKR|DUK/AEP|EQR/UDR|MET/AIG|COF/TFC|CB/HIG|CB/MET|COP/SLB|PHM/KBH|AFL/AIG|USB/COF|AMT/EQIX|TMO/ABT|ALL/WRB|PH/DOV|PLD/EQIX|CVX/BKR|PH/AME|DVN/BKR
2020-11-12,27,DUK/ETR|COF/FITB|AME/DOV|D/ES|DUK/AEP|ABT/DHR|BAC/PNC|WEC/ES|AFL/AIG|TMO/ABT|DUK/XEL|ETN/ITW|COP/SLB|D/WEC|DVN/BKR|CB/AIG|DUK/SO|EQR/ESS|CB/MET|COF/TFC|AEP/ETR|EOG/OXY|AXP/COF|ESS/UDR|KBH/MHO|BAC/COF|MET/AIG
2021-01-14,39,COF/FITB|EQR/ESS|ESS/UDR|XOM/CVX|VICI/WY|AXP/COF|AEP/ETR|EOG/OXY|TFC/FITB|ABT/DHR|CB/MET|AFL/AIG|KBH/MHO|BAC/PNC|TMO/ABT|AXP/FITB|AXP/TFC|HAL/BKR|DOV/GWW|PH/AME|ETN/GWW|PHM/KBH|DHI/LEN|D/WEC|D/EXC|AFL/L|XOM/COP|BAC/COF|ABT/ISRG|AIG/HIG|DVN/BKR|CVX/COP|ALL/AFL|ALL/L|CVX/SLB|COP/OXY|ITW/GWW|ALL/UNM|AME/GWW
2021-03-18,38,PNC/COF|PEP/PG|EOG/OXY|ESS/UDR|KBH/TPH|DUK/SO|AME/DOV|BAC/PNC|AFL/AIG|AXP/COF|COF/TFC|EQR/ESS|AXP/FITB|PH/IR|CB/MET|PH/AME|AXP/TFC|PRU/UNM|SRE/PPL|KBH/MHO|ITW/GWW|NVR/TPH|SRE/EIX|WEC/ES|D/WEC|PNC/FITB|MMM/ETN|MMM/AME|MHO/TPH|PHM/KBH|HAL/BKR|EMR/IR|PNC/AXP|DVN/BKR|ALL/L|DOV/GWW|AEP/PPL|D/EXC
2021-05-20,44,COF/FITB|DHI/LEN|XOM/CVX|NVR/TOL|PNC/COF|AXP/COF|VICI/WY|AEP/ETR|AME/DOV|PH/IR|SRE/PPL|AFL/HIG|NVR/TPH|PHM/TPH|KBH/MHO|MMM/AME|BAC/PNC|KBH/TPH|HAL/BKR|PRU/WRB|PNC/FITB|AXP/FITB|WEC/ES|XOM/COP|UNM/L|AEP/PPL|DUK/SO|AFL/L|PEP/PG|ITW/GWW|CB/MET|AFL/AIG|CB/PRU|BAC/COF|COP/VLO|D/EXC|CVX/PSX|XOM/VLO|D/WEC|COP/SLB|UNM/WRB|AVB/ESS|XOM/PSX|ABT/DHR
2021-07-22,43,AXP/COF|KBH/MHO|DHI/LEN|NVR/TOL|XOM/CVX|AEP/ETR|PH/IR|VICI/WY|MMM/AME|AFL/HIG|MHO/TPH|SRE/PPL|TRV/CB|PHM/TPH|BAC/AXP|PRU/WRB|BAC/PNC|AEP/PPL|NVR/TPH|XOM/COP|UNM/WRB|HAL/BKR|HIG/L|CB/MET|PEP/MNST|PNC/COF|JPM/PNC|KBH/TPH|D/EXC|ES/PPL|PNC/FITB|WEC/ES|COP/EOG|ES/ETR|PHM/TOL|SO/EXC|ITW/GWW|CVX/VLO|PNC/AXP|TRV/MET|HON/IR|CB/UNM|TMO/ABT
