pair,n_trades,win_rate,avg_win,avg_loss,profit_factor,avg_duration_d,n_stops_hit,pct_in_market
DHI/LEN,25,92.0,1.09587,-0.13092,8.37,16.4,0,16.0
XEL/WEC,25,80.0,1.36773,-0.60306,2.27,17.1,0,17.1
KBH/MHO,24,79.2,1.44312,-0.66195,2.18,17.3,0,16.5
BAC/PNC,27,85.2,2.1833,-0.83087,2.63,16.4,0,17.7
PHM/MHO,36,80.6,1.33368,-0.73481,1.81,16.1,0,23.0
BAC/FITB,28,92.9,0.79622,-0.65271,1.22,15.0,0,17.6
PHM/KBH,35,88.6,1.23214,-0.34339,3.59,15.6,0,21.8
AME/ITW,28,85.7,2.40882,-1.83072,1.32,14.3,0,15.8
ETN/PH,32,81.2,2.53779,-0.58491,4.34,13.8,0,17.8
PNC/FITB,36,86.1,0.84971,-0.45572,1.86,15.9,0,22.5
