pair,direction,entry_date,exit_date,entry_z,exit_z,spread_pnl,duration_d,stop_hit,win
XEL/WEC,SHORT,2018-03-19,2018-03-28,2.495,-0.749,1.07783,9,False,True
XEL/WEC,LONG,2018-07-30,2018-08-15,-2.233,0.264,0.60459,16,False,True
XEL/WEC,SHORT,2018-08-23,2018-09-07,2.038,-0.471,1.11252,15,False,True
XEL/WEC,LONG,2019-03-13,2019-03-21,-2.402,-0.142,0.69959,8,False,True
XEL/WEC,SHORT,2019-04-26,2019-05-02,2.476,-0.476,1.29321,6,False,True
XEL/WEC,SHORT,2019-10-28,2019-11-05,2.182,-1.243,2.4733,8,False,True
XEL/WEC,SHORT,2020-01-15,2020-01-23,2.134,0.176,0.89069,8,False,True
XEL/WEC,SHORT,2020-05-07,2020-05-15,2.078,-0.299,1.36764,8,False,True
XEL/WEC,SHORT,2020-06-22,2020-07-20,2.702,-0.848,-0.2199,28,False,False
XEL/WEC,LONG,2020-07-24,2020-08-12,-2.299,0.145,1.13036,19,False,True
XEL/WEC,SHORT,2020-08-18,2020-09-03,2.922,0.014,3.2128,16,False,True
XEL/WEC,SHORT,2020-10-28,2020-11-11,2.349,-0.052,3.11623,14,False,True
XEL/WEC,LONG,2021-02-12,2021-03-11,-2.176,0.623,0.59467,27,False,True
XEL/WEC,SHORT,2021-07-16,2021-08-10,2.17,-0.018,-0.04912,25,False,False
XEL/WEC,LONG,2021-08-27,2021-10-04,-2.587,0.011,-1.6349,38,False,False
XEL/WEC,LONG,2022-01-11,2022-01-25,-2.249,1.104,2.16249,14,False,True
XEL/WEC,LONG,2022-08-04,2022-08-24,-2.586,0.244,0.4846,20,False,True
XEL/WEC,LONG,2022-11-04,2022-11-18,-2.287,1.083,0.81702,14,False,True
XEL/WEC,SHORT,2022-11-23,2022-12-30,2.416,-0.116,-0.86324,37,False,False
XEL/WEC,LONG,2023-01-18,2023-02-10,-2.192,0.637,0.0815,23,False,True
XEL/WEC,SHORT,2023-02-15,2023-02-27,2.346,-0.472,2.11091,12,False,True
XEL/WEC,SHORT,2023-06-13,2023-06-30,3.088,0.06,0.79048,17,False,True
XEL/WEC,LONG,2023-08-08,2023-09-01,-2.507,0.658,0.34844,24,False,True
XEL/WEC,SHORT,2024-02-15,2024-02-29,2.142,0.777,-0.24812,14,False,False
XEL/WEC,LONG,2024-07-09,2024-07-16,-2.481,0.21,2.9857,7,False,True
BAC/PNC,SHORT,2018-04-20,2018-05-08,2.463,0.392,0.50128,18,False,True
BAC/PNC,SHORT,2018-06-19,2018-07-09,2.29,0.133,0.02504,20,False,True
