date,equity
2020-01-03,100000.0
2020-01-06,100000.0
2020-01-07,100000.0
2020-01-08,100000.0
2020-01-09,100000.0
2020-01-10,100000.0
2020-01-13,100000.0
2020-01-14,100000.0
2020-01-15,100000.0
2020-01-16,100000.0
2020-01-17,100000.0
2020-01-21,100000.0
2020-01-22,100000.0
2020-01-23,100000.0
2020-01-24,100000.0
2020-01-27,100000.0
2020-01-28,100000.0
2020-01-29,100000.0
2020-01-30,100000.0
2020-01-31,100000.0
2020-02-03,100000.0
2020-02-04,100000.0
2020-02-05,100000.0
2020-02-06,100000.0
2020-02-07,99959.39
2020-02-10,99989.93
2020-02-11,99955.6
2020-02-12,99861.0
2020-02-13,99814.76
2020-02-14,99845.06
2020-02-18,99805.31
2020-02-19,99827.11
2020-02-20,100008.16000000002
2020-02-21,100028.09
2020-02-24,99996.13
2020-02-25,99996.13
2020-02-26,99996.13
2020-02-27,99996.13
2020-02-28,99996.13
2020-03-02,99996.13
2020-03-03,100031.3
2020-03-04,100479.48
2020-03-05,100607.96
2020-03-06,100870.02
2020-03-09,100929.15
2020-03-10,100897.07
2020-03-11,100897.07
2020-03-12,100897.07
2020-03-13,100897.07
2020-03-16,100897.07
2020-03-17,100897.07
2020-03-18,100897.07
2020-03-19,100897.07
2020-03-20,103006.96
2020-03-23,102782.25000000001
2020-03-24,102758.31
2020-03-25,102758.31
2020-03-26,102758.31
2020-03-27,102758.31
2020-03-30,102758.31
2020-03-31,102758.31
2020-04-01,102758.31
2020-04-02,102758.31
2020-04-03,102758.31
2020-04-06,102758.31
2020-04-07,102758.31
2020-04-08,102758.31
2020-04-09,102758.31
2020-04-13,102758.31
2020-04-14,102758.31
2020-04-15,102758.31
2020-04-16,102758.31
2020-04-17,102758.31
2020-04-20,102758.31
2020-04-21,102758.31
2020-04-22,102758.31
2020-04-23,102758.31
2020-04-24,102758.31
2020-04-27,102758.31
2020-04-28,102758.31
2020-04-29,102758.31
2020-04-30,102758.31
2020-05-01,102758.31
2020-05-04,102758.31
2020-05-05,102758.31
2020-05-06,102758.31
2020-05-07,102758.31
2020-05-08,102758.31
2020-05-11,102758.31
2020-05-12,102758.31
2020-05-13,102758.31
2020-05-14,102758.31
2020-05-15,102758.31
2020-05-18,102758.31
2020-05-19,102758.31
2020-05-20,102758.31
2020-05-21,102758.31
2020-05-22,102758.31
2020-05-26,102758.31
2020-05-27,102758.31
2020-05-28,102758.31
2020-05-29,102758.31
2020-06-01,102758.31
2020-06-02,102758.31
2020-06-03,102758.31
2020-06-04,102758.31
2020-06-05,102758.31
2020-06-08,102758.31
2020-06-09,102758.31
2020-06-10,102758.31
2020-06-11,102758.31
2020-06-12,102758.31
2020-06-15,102758.31
2020-06-16,102758.31
2020-06-17,102758.31
2020-06-18,102758.31
2020-06-19,102758.31
2020-06-22,102758.31
2020-06-23,102758.31
2020-06-24,102758.31
2020-06-25,102758.31
2020-06-26,102758.31
2020-06-29,102758.31
2020-06-30,102758.31
2020-07-01,102758.31
2020-07-02,102758.31
2020-07-06,102758.31
2020-07-07,102758.31
2020-07-08,102758.31
2020-07-09,102758.31
2020-07-10,102758.31
2020-07-13,102758.31
2020-07-14,102758.31
2020-07-15,102758.31
2020-07-16,102758.31
2020-07-17,102744.80000000002
2020-07-20,102589.39999999998
2020-07-21,102694.25000000001
2020-07-22,102628.53000000001
2020-07-23,102595.81
2020-07-24,102532.88
2020-07-27,102802.0
2020-07-28,102394.63
2020-07-29,102388.44999999998
2020-07-30,102139.87
2020-07-31,102069.33
2020-08-03,102126.94
2020-08-04,102129.49
2020-08-05,102297.08
2020-08-06,102908.66
2020-08-07,103345.88
2020-08-10,103877.73
2020-08-11,103841.66000000002
2020-08-12,103841.66000000002
2020-08-13,103841.66000000002
2020-08-14,103841.66000000002
2020-08-17,103841.66000000002
2020-08-18,103841.66000000002
2020-08-19,103841.66000000002
2020-08-20,103841.66000000002
2020-08-21,103841.66000000002
2020-08-24,103841.66000000002
2020-08-25,103841.66000000002
2020-08-26,103841.66000000002
2020-08-27,103841.66000000002
2020-08-28,103613.84
2020-08-31,103654.48
2020-09-01,103457.64
2020-09-02,103063.69
2020-09-03,103227.96
2020-09-04,103200.55000000002
2020-09-08,103270.24
2020-09-09,102888.23
2020-09-10,102909.01999999999
2020-09-11,102738.35
2020-09-14,102590.95
2020-09-15,102330.81
2020-09-16,102402.62
2020-09-17,102754.75
2020-09-18,102563.62
2020-09-21,102441.91
2020-09-22,102469.57999999999
2020-09-23,102861.20000000001
2020-09-24,102907.71999999999
2020-09-25,102793.65000000001
2020-09-28,102782.87
2020-09-29,102750.35
2020-09-30,102750.35
2020-10-01,102750.35
2020-10-02,102750.35
2020-10-05,102750.35
2020-10-06,102750.35
2020-10-07,102750.35
2020-10-08,102750.35
2020-10-09,102830.91
2020-10-12,102788.44999999998
2020-10-13,102700.84
2020-10-14,102909.06
2020-10-15,103091.23
2020-10-16,103348.08
2020-10-19,103168.66
2020-10-20,103136.74000000002
2020-10-21,103136.74000000002
2020-10-22,103136.74000000002
2020-10-23,103136.74000000002
2020-10-26,103136.74000000002
2020-10-27,103136.74000000002
2020-10-28,103136.74000000002
2020-10-29,103136.74000000002
2020-10-30,103136.74000000002
2020-11-02,103136.74000000002
2020-11-03,103136.74000000002
2020-11-04,103136.74000000002
2020-11-05,103136.74000000002
2020-11-06,103136.74000000002
2020-11-09,103136.74000000002
2020-11-10,103136.74000000002
2020-11-11,103136.74000000002
2020-11-12,103136.74000000002
2020-11-13,103136.74000000002
2020-11-16,103136.74000000002
2020-11-17,103136.74000000002
2020-11-18,103136.74000000002
2020-11-19,103136.74000000002
2020-11-20,103136.74000000002
2020-11-23,103136.74000000002
2020-11-24,103136.74000000002
2020-11-25,103136.74000000002
2020-11-27,103136.74000000002
2020-11-30,103136.74000000002
2020-12-01,103136.74000000002
2020-12-02,103136.74000000002
2020-12-03,103136.74000000002
2020-12-04,103136.74000000002
2020-12-07,103136.74000000002
2020-12-08,103136.74000000002
2020-12-09,103136.74000000002
2020-12-10,103136.74000000002
2020-12-11,103136.74000000002
2020-12-14,103136.74000000002
2020-12-15,103136.74000000002
2020-12-16,103136.74000000002
2020-12-17,103136.74000000002
2020-12-18,103136.74000000002
2020-12-21,103136.74000000002
2020-12-22,103136.74000000002
2020-12-23,103136.74000000002
2020-12-24,103136.74000000002
2020-12-28,103136.74000000002
2020-12-29,103136.74000000002
2020-12-30,103136.74000000002
2020-12-31,103136.74000000002
2021-01-04,103136.74000000002
2021-01-05,103136.74000000002
2021-01-06,103136.74000000002
2021-01-07,103136.74000000002
2021-01-08,102891.26424512602
2021-01-11,102317.00919048
2021-01-12,103281.50272826401
2021-01-13,101910.08318281
2021-01-14,100474.91481836203
2021-01-15,102316.297546974
2021-01-19,102555.68823418801
2021-01-20,101718.17665069202
2021-01-21,102065.32460385801
2021-01-22,102474.06581815201
2021-01-25,102765.97373337402
2021-01-26,103247.10662547401
2021-01-27,103370.58193060201
2021-01-28,103121.55827187203
2021-01-29,103097.30051062402
2021-02-01,103097.30051062402
2021-02-02,103097.30051062402
2021-02-03,103097.30051062402
2021-02-04,103097.30051062402
2021-02-05,103097.30051062402
2021-02-08,103097.30051062402
2021-02-09,103097.30051062402
2021-02-10,103097.30051062402
2021-02-11,103097.30051062402
2021-02-12,103097.30051062402
2021-02-16,103097.30051062402
2021-02-17,103097.30051062402
2021-02-18,103097.30051062402
2021-02-19,103097.30051062402
2021-02-22,103097.30051062402
2021-02-23,103097.30051062402
2021-02-24,103097.30051062402
2021-02-25,103097.30051062402
2021-02-26,103097.30051062402
2021-03-01,103097.30051062402
2021-03-02,103097.30051062402
2021-03-03,103097.30051062402
2021-03-04,103097.30051062402
2021-03-05,103097.30051062402
2021-03-08,103097.30051062402
2021-03-09,103097.30051062402
2021-03-10,102704.40109959402
2021-03-11,102854.90854427603
2021-03-12,102798.85372608602
2021-03-15,102774.17310420402
2021-03-16,103153.31407411804
2021-03-17,103179.45923770803
2021-03-18,103712.30489124403
2021-03-19,103867.22658839801
2021-03-22,103839.34872757603
2021-03-23,103839.34872757603
2021-03-24,103839.34872757603
2021-03-25,103839.34872757603
2021-03-26,103839.34872757603
2021-03-29,103839.34872757603
2021-03-30,103839.34872757603
2021-03-31,103839.34872757603
2021-04-01,103839.34872757603
2021-04-05,103839.34872757603
2021-04-06,103839.34872757603
2021-04-07,103839.34872757603
2021-04-08,103839.34872757603
2021-04-09,103839.34872757603
2021-04-12,103839.34872757603
2021-04-13,103839.34872757603
2021-04-14,103839.34872757603
2021-04-15,103839.34872757603
2021-04-16,103839.34872757603
2021-04-19,103839.34872757603
2021-04-20,103839.34872757603
2021-04-21,103839.34872757603
2021-04-22,103839.34872757603
2021-04-23,103839.34872757603
2021-04-26,103839.34872757603
2021-04-27,103839.34872757603
2021-04-28,103839.34872757603
2021-04-29,103839.34872757603
2021-04-30,103839.34872757603
2021-05-03,103612.70574142602
2021-05-04,103576.82446958002
2021-05-05,103287.89720614401
2021-05-06,103130.80963745002
2021-05-07,102491.67125967002
2021-05-10,102406.36686201602
2021-05-11,103814.69904671602
2021-05-12,104008.86427344002
2021-05-13,103941.50566854601
2021-05-14,103085.66668635202
2021-05-17,102527.76911867002
2021-05-18,103518.00558675801
2021-05-19,103964.92802220002
2021-05-20,103933.26504302002
2021-05-21,103722.09256787002
2021-05-24,103416.26119274803
2021-05-25,103580.64052896001
2021-05-26,103454.01955326203
2021-05-27,103241.42379110002
2021-05-28,103225.74700662003
2021-06-01,102581.66837899401
2021-06-02,102547.01443435403
2021-06-03,102483.83286743001
2021-06-04,102423.90010781602
2021-06-07,102397.84776729203
